번호,개방서비스명,소재지전화,소재지전체주소,도로명전체주소,도로명우편번호,사업장명,좌표정보x(epsg5174),좌표정보y(epsg5174)
29,동물약국,053-261-7901,대구광역시 북구 태전동 1063,"대구광역시 북구 칠곡중앙대로 393, 3층 (태전동)",41451,편안약국,339606.790535314,271175.66713385
30,동물약국,053-325-1685,대구광역시 북구 사수동 953번지,대구광역시 북구 한강로4길 9 (사수동),41598,희약국,336670.476684061,267264.567762871
31,동물약국,053-321-0436,대구광역시 북구 읍내동 1297-19번지,대구광역시 북구 관음중앙로 141-1 (읍내동),41439,온누리참조은약국,339596.125028089,272771.839614009
32,동물약국,053-313-3325,대구광역시 북구 구암동 765-3,대구광역시 북구 학정로 436 (구암동),41424,서울약국,341063.108446392,272592.080724168
33,동물약국,053-354-0950,대구광역시 북구 침산동 248-5번지,대구광역시 북구 침산로 128 (침산동),41584,침산제일약국,343683.51140174,266413.982894595
34,동물약국,053-327-0775,대구광역시 북구 관음동 1378-4번지,대구광역시 북구 칠곡중앙대로 427 (관음동),41447,칠곡푸른약국,339653.006210948,271510.394704604
35,동물약국,070-7809-1593,대구광역시 북구 복현동 183-3번지,대구광역시 북구 복현로 88 (복현동),41522,이레약국,346406.773875748,267769.865469376
36,동물약국,,세종특별자치시 보람동 744 스타힐타워Ⅱ 105호,"세종특별자치시 한누리대로 2129, 스타힐타워Ⅱ 105호 (보람동)",30150,병아리약국,225892.327189985,330884.208321083
37,동물약국,735-2253,충청남도 논산시 화지동 91-9번지,충청남도 논산시 중앙로 494 (화지동),32967,논산온누리약국,207410.569808548,300687.88446808
38,동물약국,567-3801,충청남도 천안시 서북구 두정동 160번지,충청남도 천안시 서북구 봉정로 362 (두정동),31103,보룡약국,212936.818505509,370329.519069253
39,동물약국,568-6002,충청남도 천안시 서북구 백석동 1009번지,"충청남도 천안시 서북구 한들3로 83, 103,104호 (백석동)",31091,삼성약국,210923.459619448,369968.461799908
40,동물약국,576-6686,충청남도 천안시 서북구 성정동 627-12번지,충청남도 천안시 서북구 서부3길 67 (성정동),31134,성정동물약국,212468.684413452,369240.180026134
41,동물약국,522-0589,충청남도 천안시 서북구 불당동 734번지 그랜드프라자 1층,"충청남도 천안시 서북구 불당17길 27, 1층 (불당동, 그랜드프라자)",31163,코끼리약국,209818.938244485,367598.819403927
42,동물약국,522-0822,충청남도 천안시 서북구 성거읍 송남리 12-1번지,충청남도 천안시 서북구 성거읍 성거길 89,31046,튼튼약국,217856.415753313,374675.002222374
43,동물약국,041-934-9889,충청남도 보령시 웅천읍 대창리 720-3번지,충청남도 보령시 웅천읍 장터중앙길 150,33520,일등동물약국,163909.340475397,303780.526108279
44,동물약국,041-936-1161,충청남도 보령시 동대동 1929번지,충청남도 보령시 주공로 12 (동대동),33471,대영동물약국,164213.882086855,316099.754170874
45,동물약국,735-3952,충청남도 논산시 화지동 45번지,충청남도 논산시 중앙로492번길 19 (화지동),32967,대우약국,207567.71925323,300727.598077277
46,동물약국,730-1064,충청남도 논산시 연산면 청동리 608번지,충청남도 논산시 연산면 청동로 18,32913,연산하나로약국,217517.992286018,300852.146537004
47,동물약국,,,충청남도 논산시 해월로 165 (반월동),32968,성신약국,207580.461039109,300508.785329703
48,동물약국,041-745-2350,충청남도 논산시 강경읍 대흥리 23-5번지,충청남도 논산시 강경읍 계백로 154,32939,옵티마강경제일약국,201465.19821332,295231.928352376
49,동물약국,041-733-9988,충청남도 논산시 취암동 1045-1번지,충청남도 논산시 계백로 1000 (취암동),32974,중앙온누리약국,207865.490512359,300277.481482812
50,동물약국,735-5202,,충청남도 논산시 시민로 217 (내동),32988,홍약국,208645.758556867,298410.659260466
51,동물약국,523-4230,충청남도 천안시 서북구 두정동 943번지,"충청남도 천안시 서북구 원두정3길 37 (두정동, 화인메트로병원)",31107,동대문약국,212143.901726633,370237.186200327
52,동물약국,041-578-7845,충청남도 천안시 서북구 쌍용동 191번지,"충청남도 천안시 서북구 충무로 187, 1층 (쌍용동, E 마트)",31180,마더스약국,211285.641300884,366082.226799409
53,동물약국,041-522-0323,충청남도 천안시 서북구 두정동 1063번지,"충청남도 천안시 서북구 부성7길 3, 1층 (두정동, 레몬타워)",31100,두정동물약국,211888.492177905,370654.527503619
54,동물약국,582-6978,,충청남도 천안시 서북구 성환읍 성환1로 248,31016,성환녹십자약국,211350.953767685,379492.028792052
55,동물약국,041-752-3263,충청남도 금산군 금산읍 상리 124-2번지,충청남도 금산군 금산읍 금산로 1442-1,32740,형수당약국,243916.469827433,289215.421667487
56,동물약국,041-754-0733,충청남도 금산군 추부면 마전리 420-24번지,충청남도 금산군 추부면 하마전로 18,32714,마전약국,242081.74416666,298945.660849693
57,동물약국,041-752-5022,,충청남도 금산군 추부면 마전로 56 (영광약국),32714,영광약국,241938.905231396,299054.26036594
58,동물약국,041-753-0076,,충청남도 금산군 금산읍 인삼로 85 (장춘약국),32738,장춘약국,244155.800025749,289279.444996898
59,동물약국,041-752-5013,충청남도 금산군 추부면 마전리 414-19번지,충청남도 금산군 추부면 하마전로 13,32714,흥일약국,242042.120626505,298954.367060013
60,동물약국,554-1555,충청남도 천안시 서북구 백석동 875번지,충청남도 천안시 서북구 백석4길 3 (백석동),31158,천안동물약국,211046.226833704,369023.230600571
61,동물약국,555-2757,충청남도 천안시 동남구 북면 연춘리 112-2번지 샬롬약국,"충청남도 천안시 동남구 북면 충절로 1304, 샬롬약국",31243,샬롬약국,222423.706938116,363177.527125756
62,동물약국,554-1275,충청남도 천안시 동남구 목천읍 신계리 166-21번지,충청남도 천안시 동남구 목천읍 충절로 921,31233,목천약국,218854.713916739,363763.102417124
63,동물약국,,충청남도 태안군 태안읍 동문리 481-18번지,충청남도 태안군 태안읍 중앙로 83,32141,종합 약국,137267.571711969,361598.805007093
64,동물약국,,충청남도 태안군 태안읍 남문리 702-1번지,충청남도 태안군 태안읍 동백로 310,32144,푸른솔약국,137766.361817092,360930.38594362
65,동물약국,0416733380,충청남도 태안군 안면읍 1248-2번지,충청남도 태안군 안면읍 장터로 112,32164,안면약국,141327.347132572,335319.447181261
66,동물약국,041-674-3323,충청남도 태안군 안면읍 승언리 1131번지,"충청남도 태안군 안면읍 장터로 105-4, 1층 (백경타운 B동)",32164,서산약국,141295.240785529,335258.374104752
67,동물약국,,경상남도 김해시 율하동 1330-1 103호,"경상남도 김해시 율하3로 65, 103호 (율하동)",51014,율하우리동물약국,365324.251476966,187547.928895716
68,동물약국,043-653-7500,충청북도 제천시 남천동 395번지,충청북도 제천시 용두천로 98 (남천동),27174,제천종로약국,307654.032947856,404504.049948632
69,동물약국,043-642-3207,충청북도 제천시 덕산면 도전리 1776-22번지,충청북도 제천시 덕산면 약초로3길 3-1,27223,성민약국,303835.192434208,379279.014757312
70,동물약국,,충청북도 제천시 신백동 167-1번지,충청북도 제천시 의병대로 225 (신백동),27178,행복약국,308817.428964452,404144.507604214
71,동물약국,043-653-9959,충청북도 제천시 청전동 639번지,"충청북도 제천시 의림대로 264 (청전동, 비둘기아파트)",27152,원일약국,307971.497153548,406186.21953239
72,동물약국,043-645-1722,충청북도 제천시 청전동 125-7번지,"충청북도 제천시 의림대로 222 (청전동, 두손메디칼센타)",27152,두손온누리약국,307839.148291544,405711.957835496
73,동물약국,647-3611,충청북도 제천시 중앙로1가 124번지,충청북도 제천시 의림대로14길 4 (중앙로1가),27173,중앙로약국,307549.178979701,404738.499484973
74,동물약국,043-642-9554,충청북도 제천시 하소동 71-2번지,충청북도 제천시 하소로 48 (하소동),27162,제천100세약국,306470.710822464,404957.434513196
75,동물약국,043-647-3013,충청북도 제천시 중앙로1가 102-4번지,충청북도 제천시 의병대로 88 (중앙로1가),27172,동산약국,307488.125743565,404477.512847482
76,동물약국,043-646-2286,충청북도 제천시 장락동 1050번지 신안실크밸리아파트,"충청북도 제천시 내토로59길 31 (장락동, 신안실크밸리아파트)",27149,장락약국,308658.604436603,406362.108167354
77,동물약국,,충청북도 제천시 신백동 150-5번지,충청북도 제천시 의병대로 233 (신백동),27178,온누리 건강약국,308882.227961298,404133.0973241
78,동물약국,043-882-5140,충청북도 음성군 금왕읍 무극리 58-6번지,충청북도 음성군 금왕읍 무극로 278,27634,건강약국,252664.248499338,388035.837842041
79,동물약국,,충청북도 음성군 맹동면 동성리 462번지,충청북도 음성군 맹동면 대하로 271,27738,열린동물약국,248420.375171536,379030.784064879
80,동물약국,043-877-0143,충청북도 음성군 금왕읍 무극리 244-12번지,충청북도 음성군 금왕읍 무극로 284,27634,금왕종로약국,252744.90155028,388071.177754376
81,동물약국,043-877-1132,,"충청북도 음성군 맹동면 대하로 295, 104호 (자음프라자 4층)",27738,혁신미소약국,248545.771055425,379234.675638504
82,동물약국,043-883-4712,충청북도 음성군 금왕읍 무극리 524-29번지,충청북도 음성군 금왕읍 무극로 213,27630,중앙약국,252058.796510824,387908.798586818
83,동물약국,2602-7613,서울특별시 양천구 신월동 115-11번지,서울특별시 양천구 곰달래로13길 20-1 (신월동),07923,신월시장약국,185494.645272158,447737.31800638
84,동물약국,02-2292-5235,서울특별시 성동구 하왕십리동 982-10번지,서울특별시 성동구 무학봉13길 1 (하왕십리동),04710,유림약국,202527.370519292,450941.849941445
85,동물약국,02-467-4711,서울특별시 성동구 성수동2가 532-19번지,서울특별시 성동구 성덕정길 96-1 (성수동2가),04775,옵티마뚝도시장약국,204712.095250408,448359.93429363
86,동물약국,464-0649,서울특별시 성동구 성수동2가 339-5번지,서울특별시 성동구 뚝섬로 400 (성수동2가),04776,자연온누리약국,204788.453049484,448470.237859432
87,동물약국,6015-2500,서울특별시 성동구 하왕십리동 339-67번지 텐즈힐@상가 151동 104호,"서울특별시 성동구 무학로 33, 151동 104호 (하왕십리동, 텐즈힐@상가)",04702,메디팜푸른약국,202401.066045195,451809.190992068
88,동물약국,,,"서울특별시 성동구 난계로 36, 1층 (금호동1가)",04718,금호동물약국,202137.626963625,450347.56991286
89,동물약국,02-2295-5529,,"서울특별시 성동구 난계로 114-31, 상가동 2층 201호 (하왕십리동, 금호베스트빌)",04711,방초한약국,202214.822851418,451012.019920603
90,동물약국,,서울특별시 성동구 상왕십리동 811번지 텐즈힐 2층 221동 110호,"서울특별시 성동구 마장로 137, 221동 2층 110호 (상왕십리동, 텐즈힐)",04700,텐즈힐약국,202113.869605464,451897.581865192
91,동물약국,2200-1549,서울특별시 성동구 행당동 168-1번지 2층,"서울특별시 성동구 왕십리광장로 17, 2층 (행당동)",04750,비트플렉스약국,203292.151783332,451267.730992123
92,동물약국,02-2292-9231,서울특별시 성동구 행당동 19-54번지 1층,"서울특별시 성동구 마조로 17, 1층 (행당동)",04760,한양약국,203512.949927348,450799.537553394
93,동물약국,2061-0214,서울특별시 양천구 목동 909-5번지 1층 105호,"서울특별시 양천구 목동동로 435, 1층 105호 (목동)",07984,목동정문약국,189755.541308355,448356.632865262
94,동물약국,591-3619,서울특별시 서초구 서초동 1714-19번지 한성빌딩 101호,"서울특별시 서초구 법원로2길 23, 101호 (서초동, 한성빌딩 )",06596,하나약국,201103.134111392,443585.843772336
95,동물약국,2605-1339,서울특별시 양천구 신월동 928-1번지 1층 101호,"서울특별시 양천구 지양로 78, 1층 101호 (신월동)",08034,우성메디칼약국,185221.95790954,446727.354964214
96,동물약국,02-733-3342,서울특별시 종로구 홍파동 42-13번지,"서울특별시 종로구 송월길 99, 203동 2218호 (홍파동, 경희궁자이)",03165,경희궁햇살약국,196711.256846666,452060.860508565
97,동물약국,,서울특별시 서초구 우면동 757번지 서초타워 103호,"서울특별시 서초구 중앙로 582, 103호 (우면동)",06767,태평양약국,201286.184985316,439441.292545164
98,동물약국,02-537-9286,서울특별시 서초구 반포동 32-2 동화반포프라자빌딩 105호,"서울특별시 서초구 서초중앙로 230 (반포동, 동화반포프라자빌딩)",06599,우리들약국,200990.250327999,444448.965951032
99,동물약국,,서울특별시 서초구 양재동 교원빌딩 1층,"서울특별시 서초구 바우뫼로35길 28 (양재동, 교원빌딩)",06744,푸른온누리약국,203365.302171969,441951.309206746
100,동물약국,02-736-0806,서울특별시 종로구 옥인동 19-33번지,서울특별시 종로구 자하문로 63 (옥인동),03035,종로프라자약국,197331.05502294,453256.667445308
101,동물약국,02-534-2678,서울특별시 서초구 방배동 773-4번지,서울특별시 서초구 방배로 244 (방배동),06584,임마누엘온누리약국,198998.136902669,443628.43279987
102,동물약국,02-575-0112,,"서울특별시 서초구 헌릉로8길 45, 상가동 2층 203호 (내곡동, 서초포레스타2단지)",06800,봄약국,205329.561120927,439241.118196373
103,동물약국,02-594-3141,서울특별시 서초구 방배동 1546번지,"서울특별시 서초구 동광로12가길 42, 1층 (방배동)",06567,동해물약국,198392.142869507,442817.670450014
104,동물약국,02-553-5009,서울특별시 서초구 잠원동 12-21번지,"서울특별시 서초구 강남대로 615, 1층 (잠원동, 금정빌딩)",06524,메디칼허브약국,201601.185140592,446044.757176321
105,동물약국,534-8889,서울특별시 서초구 잠원동 65-32번지 65-34 지층,서울특별시 서초구 잠원로 94 (잠원동),06520,한신메디칼약국,200628.43767533,445580.594039349
106,동물약국,02-532-1525,서울특별시 서초구 서초동 1315번지,"서울특별시 서초구 서초대로 389, 1층 105,106호 (서초동, 진흥상가)",06617,진흥온누리약국,201930.014907812,443904.461723691
107,동물약국,02-578-4955,서울특별시 서초구 양재동 230-1번지,"서울특별시 서초구 청계산로 10, 1층 (양재동, 농협하나로클럽)",06797,하나로약국,203727.376646585,440165.885849235
108,동물약국,02-581-4925,서울특별시 서초구 서초동 1342번지,"서울특별시 서초구 효령로 394, 1층 6호 (서초동)",06727,그린약국,202310.237266626,442849.568744266
109,동물약국,02-572-4799,서울특별시 서초구 서초동 1366-9 양재역 25호,"서울특별시 서초구 남부순환로 지하 2585, 양재역 25호 (서초동)",06735,양재뿌리약국,202882.878990174,442509.972957846
110,동물약국,025230365,서울특별시 서초구 서초동 1330-20번지 강남애니타워 101호,"서울특별시 서초구 강남대로53길 7, 강남애니타워 101호 (서초동)",06626,스마트온누리약국,202427.025843099,443561.16260823
111,동물약국,842-4484,서울특별시 서초구 반포동 18-3번지 래미안퍼스티지 중심상가 125호,"서울특별시 서초구 반포대로 287, 125호 (반포동, 래미안퍼스티지 중심상가)",06547,금화온누리약국,200005.626362552,444680.521703344
112,동물약국,070-4117-8275,서울특별시 서초구 서초동 1578-5번지,"서울특별시 서초구 사임당로 39 (서초동, 한성빌딩)",06650,더블유스토어 하이약국,201176.159311432,442917.346139861
113,동물약국,579-8478,서울특별시 서초구 우면동 66-2번지 세신우면상가,"서울특별시 서초구 바우뫼로7길 8, 4층 (우면동, 세신우면상가)",06762,한결약국,202175.011113176,440963.759050916
114,동물약국,541-3838,서울특별시 서초구 반포동 706-10번지,"서울특별시 서초구 강남대로 545-4, 1층 (반포동)",06535,한 약국,201796.954582592,445368.284306742
115,동물약국,34742599,서울특별시 서초구 방배동 442-2번지,서울특별시 서초구 동작대로 38 (방배동),06691,세계로 약국,198352.675,441959.455
116,동물약국,,서울특별시 종로구 구기동 94번지,서울특별시 종로구 진흥로 456 (구기동),03012,예은약국,196278.554670262,456053.759563793
117,동물약국,02-583-7170,서울특별시 서초구 방배동 924-13번지 청림빌딩 1층,"서울특별시 서초구 방배로 111, 1층 (방배동, 청림빌딩)",06683,서초제일약국,199540.273530981,442416.709711393
118,동물약국,024186987,서울특별시 송파구 방이동 107-6번지,"서울특별시 송파구 백제고분로 469, 1층 (방이동)",05546,방이수약국,209943.023921528,445596.558066727
119,동물약국,585-7270,서울특별시 서초구 방배동 951-1번지,서울특별시 서초구 서초대로 24 (방배동),06675,홈케어방배약국,198606.526771058,442592.727055948
120,동물약국,2057-3448,서울특별시 서초구 우면동 64-2번지 선일상가 101호,"서울특별시 서초구 바우뫼로 23, 101호 (우면동, 선일상가)",06762,고명약국,202164.193236145,440915.187107661
121,동물약국,024246930,서울특별시 송파구 석촌동 296-9번지,"서울특별시 송파구 송파대로 383, 1층 3호 (석촌동)",05697,누가신약국,209660.022903738,444377.210547351
122,동물약국,024437727,서울특별시 송파구 마천동 35-1,"서울특별시 송파구 거마로 61, 1층 (마천동, 강동중앙의원)",05734,수프라자약국,212877.140294641,444042.378453313
123,동물약국,581-5773,서울특별시 서초구 서초동 1320-10번지 삼성전자 지하2층,"서울특별시 서초구 서초대로74길 11, 지하2층 (서초동, 삼성전자)",06620,다사랑약국,202305.084677949,443831.909375165
124,동물약국,3487-4233,서울특별시 서초구 서초동 1603-20번지,서울특별시 서초구 서초중앙로 38 (서초동),06643,장수알파약국,201369.445938815,442584.63649791
125,동물약국,537-8738,서울특별시 서초구 잠원동 75-19번지 반포쇼핑 3동 11호,"서울특별시 서초구 신반포로 177, 1층 11호 (잠원동, 반포쇼핑)",06512,연세온누리약국,200257.080193185,444878.428106997
126,동물약국,3477-0312,서울특별시 서초구 서초동 1689-6번지 102호,"서울특별시 서초구 서초대로 341, 102호 (서초동)",06607,교대사랑약국,201588.603145334,443699.947979373
127,동물약국,3476-2273,서울특별시 서초구 잠원동 75-13번지 반포쇼핑타운 2동,"서울특별시 서초구 신반포로 165, 2동 1층 (잠원동, 반포쇼핑타운)",06512,사랑의약국,200101.113207955,444828.436476507
128,동물약국,424-3641,서울특별시 송파구 방이동 119번지 1층,"서울특별시 송파구 백제고분로48길 22, 1층 (방이동)",05642,송파태양약국,210145.041084782,445412.445669222
129,동물약국,,서울특별시 서초구 반포동 20-45번지 반포자이프라자,"서울특별시 서초구 잠원로 24, 1층 (반포동, 반포자이프라자)",06544,기린약국,200800.417027918,444989.874340522
130,동물약국,521-9443,서울특별시 서초구 서초동 1575-9번지 삼화빌딩 101호,"서울특별시 서초구 서초중앙로 107, 101호 (서초동, 삼화빌딩)",06644,서초당약국,201149.635279701,443249.376340374
131,동물약국,3474-7575,서울특별시 서초구 서초동 1602-1번지,서울특별시 서초구 효령로 279 (서초동),06654,서초백화점약국,201236.091736571,442527.409858756
132,동물약국,02-404-9620,,서울특별시 송파구 양재대로 1222 (방이동),05648,온누리건강약국,211619.368009793,445963.384875409
133,동물약국,0222027109,서울특별시 송파구 석촌동 296-17번지,"서울특별시 송파구 송파대로 365, 1층 (석촌동)",05697,메디팜하나약국,209751.9855,444250.6205
134,동물약국,02-3012-0002,,"서울특별시 송파구 양재대로 1222, 3층 22호 (방이동, 올림픽프라자)",05648,프라자약국,211619.368009793,445963.384875409
135,동물약국,02-2299-9199,,서울특별시 송파구 석촌호수로 68 (잠실동),05559,숲약국,207503.712466531,445329.702187527
136,동물약국,02-423-2664,,"서울특별시 송파구 가락로 113, 104호 (석촌동, 금도빌딩)",05687,수약국,209535.293856198,444388.263142818
137,동물약국,,"서울특별시 종로구 명륜4가 94-2번지 1,2층","서울특별시 종로구 대학로 119, 1,2층 (명륜4가)",03079,서울위드팜약국,200076.361629058,453291.955608107
138,동물약국,02-422-0317,서울특별시 송파구 잠실동 19-9번지,"서울특별시 송파구 올림픽로 119, 3층 3A04호 (잠실동, 잠실파인애플상가)",05501,밝은약국,207373.50021477,445545.656024061
139,동물약국,02-3431-0440,서울특별시 송파구 방이동 208-3번지,서울특별시 송파구 마천로 29 (방이동),05639,방이종로약국,210917.5,445267.735
140,동물약국,,서울특별시 송파구 송파동 163-20번지 1층,"서울특별시 송파구 오금로32길 28, 1층 (송파동)",05672,송파온누리약국,210472.868095682,444646.274003639
141,동물약국,02-2283-1153,서울특별시 송파구 문정동 643-1번지 엠스테이트 C동 214호,"서울특별시 송파구 법원로 114, 엠스테이트 C동 214호 (문정동)",05854,문정이화약국,,
142,동물약국,02-6264-6184,서울특별시 송파구 신천동 11-4번지 잠실 푸르지오 월드마크 219호,"서울특별시 송파구 올림픽로35가길 9, 219호 (신천동, 잠실 푸르지오 월드마크)",05510,참약국,209087.122362019,446139.152554604
143,동물약국,02-739-9302,서울특별시 종로구 신문로1가 1-1번지,서울특별시 종로구 새문안로 103-1 (신문로1가),03183,삼원약국,197826.356739032,452021.760313896
144,동물약국,593-8040,서울특별시 서초구 잠원동 75-10번지 405호,"서울특별시 서초구 신반포로 157, 405호 (잠원동)",06512,메디케어 약국,200039.021341023,444810.196873629
145,동물약국,3401-4177,,서울특별시 송파구 송이로 76 (가락동),05707,참행복한약국,210493.764941542,444103.26092079
146,동물약국,430-3371,서울특별시 송파구 오금동 19번지 대림아파트상가 117~1호,"서울특별시 송파구 마천로7길 6, 117~118호 (오금동, 오금대림아파트상가)",05656,박순영온누리약국,211294.712229733,445114.439867921
147,동물약국,423-0203,,"서울특별시 송파구 백제고분로50길 26, 1층 (방이동)",05630,녹원약국,210307.743547131,445695.157137137
148,동물약국,402-4701,,"서울특별시 송파구 중대로 80, 지하1층 (문정동, 롯데마트송파점)",05833,소나무약국,210343.699256005,443288.284974717
149,동물약국,2202-0949,,서울특별시 송파구 석촌호수로 100 (잠실동),05566,태평양약국,207708.69116279,445082.076290391
150,동물약국,407-8774,서울특별시 송파구 거여동 31번지,서울특별시 송파구 오금로64길 4 (거여동),05773,남매약국,212957.470714781,443385.08072508
151,동물약국,448-8450,서울특별시 송파구 가락동 164-20번지,서울특별시 송파구 동남로 211 (가락동),05820,큰사랑동물약국,211534.984887689,443802.697585217
152,동물약국,2202-5941,서울특별시 송파구 삼전동 133-9번지,서울특별시 송파구 백제고분로 261 (삼전동),05603,왕약국,208384.173898313,444506.412600732
153,동물약국,02-945-2636,,서울특별시 종로구 종로 124-1 (종로3가),03192,신세계약국,199170.878365603,451982.38164359
154,동물약국,3477-1840,서울특별시 서초구 반포동 30번지 지하철 9호선 사평역,,,서원약국,200882.763452102,444703.176102995
155,동물약국,584-3398,서울특별시 서초구 방배동 1028-1번지 경남상가,"서울특별시 서초구 방배로 27, 1층 (방배동, 경남상가)",06703,주앙약국,,
156,동물약국,02-411-0187,서울특별시 송파구 잠실동 40-1번지 롯데월드 웰빙센터동 A-104호,"서울특별시 송파구 올림픽로 240, 롯데월드 웰빙센터동 A-104호 (잠실동)",05554,키즈플러스약국,208589.363343145,445455.90405262
157,동물약국,02-881-5594,서울특별시 송파구 문정동 642번지 송파 테라타워2 B동 144호,"서울특별시 송파구 송파대로 201, 송파 테라타워2 B동 144호 (문정동)",05854,피나팜맑은약국,,
158,동물약국,,서울특별시 송파구 신천동 7-12번지 홈플러스잠실점 지하1층,"서울특별시 송파구 올림픽로35가길 16, 홈플러스잠실점 지하1층 (신천동)",05510,잠실미소약국,209039.148023482,446007.966801057
159,동물약국,739-9302,서울특별시 종로구 신문로1가 1-1번지,,,삼오약국,197826.356739032,452021.760313896
160,동물약국,584-6075,서울특별시 서초구 서초동 1673-10번지 소망빌딩,"서울특별시 서초구 서초대로 310, 지하층 (서초동, 소망빌딩)",06634,수현온누리약국,201304.519889765,443532.264836083
161,동물약국,02-575-0112,서울특별시 서초구 내곡동 143번지 서초 포레스타2단지 상가 203호,"서울특별시 서초구 헌릉로8길 45, 203호 (내곡동, 서초 포레스타 2단지 상가)",06800,봄약국,205329.561120927,439241.118196373
